uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades
vxrfqt82,7170277,Lester Crochet,1,-2.7,0.9,-5
xlcssl73,7137949,Loretta Mayer,1,-0.1,1.5,5
msvybl33,3964976,Gail Carlton,1,-0.7,-1.5,2.5
gmhcbg17,6066901,Irene Hines,1,-1.5,1.7,5
yntujo82,2470074,Adrienne Newman,1,-0.6,0.1,-99
exunbz40,4963864,Johnathan Lafreniere,1,-3,1.2,5
tnuyde50,8937036,Jason Roorda,1,0.3,2.7,-99
ttdlzh48,0798074,Timothy Ortega,1,-1.2,1.9,5
aeyeur65,7711465,Miquel Shields,1,-3.9,-0.8,1.7
onehlt84,5804123,Stephanie Stroik,1,0.7,2,-99
wjjipd91,6848355,Rob Munoz,1,-1.9,-1,-99
ronyhy54,1064992,Teresa Simmons,1,-2.8,-0.9,2.5
zzvbhp65,2211189,David Forest,1,0,1.3,-99
tbfbjw26,6309107,Margaret Sessions,1,-2.4,-0.4,0
oxarts58,9778243,Ok Duran,1,-1.5,0.5,0
bzmufy04,5427568,Pearl Bell,1,-0.6,0.1,-99
heljmt29,3433295,Jared Groff,1,2.1,3.6,0
ibxafx34,6220015,Lucille Horn,1,-2.1,0.4,5
hsrfgp73,4856282,Bernice Stewart,1,-4.6,-3,-99
pcvjyt30,0317496,John Kauffman,1,-2.5,2.9,-99
krkwyk86,5948171,Ryan Rhoades,1,-1.3,4,2.5
slgtkv40,7223665,Michael Harris,1,-3.3,-1,-99
crfcmo89,9153805,Rudolph Griffin,1,-1.6,0.2,-99
pokknh29,9226778,William White,1,-5,-2.9,-99
ifnpri03,5748701,Carol Chi,1,-0.8,1.9,-99
nmlgfl17,8291337,Charlotte Donnelly,1,0.5,1.7,5
ahagga24,3777774,Edna Landry,1,-2.7,1.5,0
bvbaap63,7069455,Andrew Ward,1,-1.7,0.5,-99
akklvw12,0654205,James Matas,1,-2.4,1.1,-99
sturom94,5863229,Harriet Mcfarlin,1,-4.3,-2.9,-5
sbwioo42,3369342,Willene Rodriguez,1,-3.1,2.1,0
ussxcx71,8432752,William Johnson,1,-0.9,1.5,5
pdpsho42,0203723,Leah Waite,1,0.2,2.3,2.5
xkwdwn56,2971998,Evelyn Johnson,1,0.6,0,-99
nblpob66,8245840,Diane Helt,1,-1.1,0.2,2
aklusk53,8551864,Ross Cavin,1,-1.2,3.2,1
qigilp32,3084566,Rebekah White,1,-2.8,-0.5,4
xgrifm15,9537189,Lewis Martin,1,-0.1,2.2,0.9
jxwkjd37,1119291,Anna Walker,1,-3.3,0.8,1
atxloh52,1507010,Joseph Hui,1,-1.2,1.2,2.7
khjwtw71,8185635,Mary Adu,1,-2.9,2.5,5
ossvxr34,7904800,Eileen Sowinski,1,-1.9,1.7,4
lsyrox60,8575013,Patricia Montalvo,1,-0.3,2.8,1.7
rawxiy98,5859595,Gilbert Mayes,1,0.4,0.1,4.5
uvxzzo93,8283007,Mark Alston,1,-1.7,1,-0.3
wfcqsr67,4252375,Ira Warthen,1,-0.5,1,4
zdlwsy57,6510158,Edward Peterson,1,-1.4,2.3,2
aylkuj98,7947126,Ann Wei,1,-3,1.3,-1
tjzuwb33,0858231,Simon Nichols,1,-4,0,0
tdcuhw70,1144274,Dexter Kimball,1,-1.7,0.4,3
hgncyn04,3941209,Andrew Breeden,1,-0.3,2.7,5
jdmwsv20,5044900,Ali Franks,1,-3.2,0.7,0.5
isurhy93,4850495,Willa Zayas,1,-2.1,1.1,4.5
cwmpql45,3668461,Jeffrey Bates,1,-2.9,0.8,0
sitbci24,9442222,Tabatha Samuels,1,-0.7,1.5,1
zzocmr70,3730473,Jay Fishburn,1,1.2,2.9,5
jlihlb61,8404135,Mohamed Adkins,1,0,2.6,3
egflre15,0832155,Frederick Schott,1,-2.8,0.5,3
vtigft16,4547175,Mike Bacon,1,-2.6,0.9,1.7
omrofp43,5349506,Stephanie Taylor,1,-4.2,-4,0
afijmp72,2025343,Lenore Devens,1,-4,-0.5,-5
soumoj68,6627271,Mitchell Sewell,1,-0.8,2.2,2.7
kkquor92,3860253,Amelia Necaise,1,-2.3,-0.1,4
fgzpis29,1335621,William Walton,1,-3.3,-0.5,3.1
hjnjji04,2343320,Ted Mandel,1,-1.8,1.4,4
mqtqng62,6133300,Rita Peake,1,-2.9,-1.2,1.5
rlpjkc66,7122570,Ruben Borkowski,1,-1.1,4.1,2
llakri07,3899420,Louis Wells,1,-3.3,-0.6,0
zdikhn43,0442659,Herbert Harris,1,1.7,-2.3,0
ubhibv21,0907418,Rebecca Dutra,1,0.3,3,0
ypcebh98,1568035,Kenneth Wolfe,1,-2.1,-0.9,0
uoboxj30,3421896,Wanda Rivera,1,0.6,0.3,0
babcgc50,2344924,Paul Nappi,1,-0.6,0.3,0
eupqim74,1127455,Steve Lawrence,1,-1.3,1,0
igvthg82,6416276,Margaret Bush,1,2.5,3,0
amfioe50,1502660,Helen Shawler,1,-2.1,-3.7,0
vwcbgl92,0949470,Kirsten Godbee,1,1.1,2.7,0
knrdvy59,4367687,Richard Parrish,1,0.7,1.6,0
rcjuri11,4142996,Emily Cohen,1,-0.9,-1.2,0
dmqxuu78,3878754,Kristen Galarza,1,2.2,2.5,-99
ykniks68,6272376,Donald Wolfe,1,-1.2,1.7,-99
kmjong79,2180415,Karin Johnson,1,-1.3,2.2,0
iagzyb23,8362765,Maria Harding,1,3.1,1.2,-99
mentbl06,2381262,Jonas Deen,1,0.3,1.7,-99
amawjn38,6929648,Dorothy Oelze,1,-2.1,0.5,-0.6
xuxuhr00,4579452,Richard Greenlaw,1,1.3,3.8,-99
nnpitu57,6357984,John Barnes,1,-1.2,0,-99
mowcfw66,4130004,William Galloway,1,0,1.7,-99
kwmfzd04,8607459,Robert Myles,1,0.7,1.1,1
jzqzaw04,8202139,Amy Goodwin,1,-0.4,0,-99
ieoyfk66,8166976,Michele Lucas,1,-3.4,-3.3,-99
nkdswg20,6653200,Crystal Roybal,1,-0.2,2.2,-99
unwzpn62,1686497,Gladys Hibbard,1,-5,-5,-99
ulohnu05,0648147,Melissa Furr,1,-0.8,-0.3,-99
engwaq73,0914456,Ronald Markle,1,-1.9,3,-99
ezmbhd15,7520435,Edna Babcock,1,0.4,3.6,0
igxxqf32,6671155,Ann Crawford,1,-1.2,0.1,0
avkrrx34,6107984,Cory Styles,1,-0.7,2.5,0
mogoby19,0477271,Robert Hebert,1,-1.6,0.7,0
ezrfyg40,2661674,Randy Numbers,1,-1.1,1.3,0
kwtifa27,8460660,Miguel Roberts,1,0.5,1.1,0.7
kpbiob71,3290915,Rita Poland,1,0.4,0.6,2.5
btnfbe47,2849269,Betty Stevens,1,1.9,2.6,0
oumnfl26,5638980,Micheal Jones,1,-2.9,-3,-0.1
rorree58,4057121,Jose Cleckler,1,-0.9,2.3,0
plhknu81,1903122,Richard Tomblin,1,-0.5,0.6,0
mkbhmo08,8636265,Vincenzo Betz,1,-3.8,-3.3,0
vcvlht06,7979509,James Mangon,1,0.9,3.6,0
fyagkl21,0789972,Ethel Haas,1,3.6,1.9,0
gycuzn31,8020212,Gary Cortez,1,0.9,1.6,0
ytnlzz74,5361336,David Smith,1,0.9,-0.9,0
bugohz60,3902663,Jeffery Orgain,1,1.4,4.9,0
cgynta76,5060695,Joel Crockette,1,0.3,3.4,0
toxymg93,0194835,Conrad Taylor,1,-0.5,2.4,2.5
egypxf66,3617844,Maria Wright,1,-4.7,-2.1,0
nekfhb98,5370794,Christina Foster,1,2.5,3.8,0
rowubx00,3928228,Thelma Trimble,1,3.8,3.3,2.5
sshdyh54,0814805,Martha Hall,1,1.4,0.8,2.5
dofbfu49,3521182,Raquel Seide,1,1.7,-0.1,0
ivaiiq01,1888318,Lucia Nester,1,0.3,1.2,0
dbxeah98,4516443,Hosea Spencer,1,-1.3,-0.5,0
hcggwc47,1727314,James Randall,1,-1,-0.6,2.5
rclnwj42,8824545,Shirley Mullins,1,-1.3,1.7,-99
sxvjww95,5085251,Edward Means,1,-3.3,-0.2,-99
