uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades
fdokdc04,6003635,Eric Brennan,0,-99,-99,-99
biqvyu08,5383096,Traci Olson,1,-1.4,2,-1.7
bbncmn93,7362317,Christine Wallace,0,0.2,1.3,-1.7
wijwkl43,4072969,Dennis Thompson,0,-1.2,0.6,2.5
xrayjt79,9471503,Joshua Powell,1,-3.4,-2.9,-99
lhgotc19,7558493,Sherrie Taylor,0,0.9,2.1,-99
qsntlf52,4199812,Anna Hamilton,1,-0.1,1.8,-99
veelna51,9063208,Gary Gallivan,1,-0.2,1.8,0.8
uawlbj29,3179258,John Ramsey,0,-0.1,2,-99
sgdaeu00,7923020,Julie Vuong,0,0.1,1.7,5
vihwyw32,5684392,Timothy Wilson,0,-0.7,4,3.3
adrspt86,3911339,Mary Johnson,1,-0.3,-0.7,0
ivtxmg63,9089623,Emily Legros,1,-1.4,0.9,0.8
tqfumn27,0361937,Rafael Rowell,0,-0.7,-0.6,0
znulyo54,8353988,Kimberlie Ray,0,0.1,1.2,0
ifofoh87,1957484,Arthur Frye,0,-0.7,0.3,0
pedvvc01,2353888,David Urban,0,-1.7,1.2,0
bgiknl50,5719104,Michael Reinking,0,-3.1,-0.6,-3
pehpyw40,5431085,Michael Wurdeman,0,1.3,0,0
ldwplc83,2044442,Bobby Mccoy,1,-3.3,-3.3,-99
quxhow45,7525070,Maggie Vargo,0,-4.4,-2.9,-99
rnzuem42,0454453,Vina Alexander,0,-1.9,2.9,-99
srxtil09,1280365,Kiera Watkins,0,-2.2,1.3,-99
djixmw32,9887362,Billy Oelke,0,-4.2,-0.4,-99
ngiogr17,8394442,Gerald Kostyla,0,0.2,0.5,-99
whhxyy76,0725707,Rufus Denny,0,-2.6,2.4,-99
errobu83,0697590,Elbert Cruz,1,-1.2,-1.1,-99
zcnsdn58,2062219,Mary Braxton,0,-2.1,2.3,0
qaehfb54,0584098,Todd Conrad,0,-2.2,1.9,-99
manpuv13,6874348,Jonathan Dionne,0,-1.9,0.5,0
ssshtm10,6589424,Ruby Evans,0,-2.7,1.8,-99
ynsxhp99,2248119,Ardella Greco,0,-2.2,-0.3,-99
wvgkyw60,6201296,Robert Way,1,-1.8,1.4,-99
eomjuv44,3094095,Ethel Fitts,0,-1.9,0.9,-99
oionhk52,4931461,Peter Davenport,0,-2.7,2,5
rzlytq39,1172872,Leona Pinell,0,-2.7,2,5
udkvsp54,9830655,Matthew Vandermark,0,-3.6,-2.5,-99
fjxnfd03,4338973,Maria Larocca,0,-3,0.2,-1.5
gfbdms75,4191873,Norma Moskowitz,1,-3.1,-0.8,1
mnwmes24,9131333,Levi Meador,0,-3.2,-0.5,3
ohnwtf62,7731781,Wayne Collier,0,-2.1,-1.8,1
zkvvuo23,2831886,Stephen Holbrook,0,-3.8,0.7,3.3
jjyllk13,9516947,Geraldine Thomas,0,-1.6,-2,0.5
riojkc93,5499874,Edward Khan,0,-0.6,1,1.7
ubgcyp57,2488508,Keith Gann,0,-2.9,0.3,3.5
zjhssy18,0338364,Linda Rhodes,1,-1.8,0.1,0.7
kqakon17,3434386,Boyd Delacruz,0,-2.1,-0.2,2
qnhtcf29,1946136,Robin Daniel,0,-1.8,0.5,-2
wkzafk76,7766344,Stephen Johnson,1,-1.3,1.4,0
jatxwe04,9687333,Daryl Gilchrist,1,-1.3,1,0
qabdri96,6596116,Ryan Williams,0,-2.6,-0.3,-2.2
aqedyg02,6371481,Hal Brooks,0,-1.2,0.7,5
tdtfzs87,5892847,Robert Robinson,0,-1.4,-0.2,0.5
ddidwr68,9657509,Lorene Tucci,1,-3.4,-1,0.5
xwsyub17,3602428,Deborah Bunch,1,-4,-2.7,-0.8
onulxo99,1314382,Sarah Montanez,0,-1.5,-0.8,1
txkfbm33,7855962,Elizabeth Pagan,0,0.2,3.9,-2
adhano30,9275194,Loretta Dupree,0,-0.9,-2.6,2.5
oygjht30,8276286,Linda Whitesides,0,-2.6,-1.6,-1
xnyocs44,9972781,Terry Anderson,0,1.7,1.7,-99
kgxgvn69,3175226,William Murphy,0,-2.5,1.5,-99
fryfwl26,6471993,Erma Martin,1,-2.3,1.9,0
jtanve51,7878852,Lawrence Graham,0,-0.6,5,-99
fangmc56,2076941,Wilma Hammonds,0,-0.9,-0.3,0
fxhugv62,5348753,Richard Folks,0,-2.4,-0.2,2.5
jzfoqy58,2433004,Anthony Mcmillin,1,1.2,2.9,2.5
jvkzsj20,8253835,Ken Ledin,0,-0.1,4.4,-99
mbqfxd25,5724558,Wesley Hagen,0,3.4,5,5
iyybpq64,5104183,Evelyn Arostegui,0,1.3,0,-99
arzvvb95,7170877,Sharon Black,0,0.8,2.4,0
lnudgs67,9315185,Maria Crane,0,-2.1,0,-99
mbzclx98,4427602,Robert Smith,0,3.7,4.3,5
nnfnrd89,0001217,Robert Hughes,0,-0.5,-1,-99
ennfqu76,1599651,Norbert Schramm,1,-0.4,3.8,2.5
vklqmx63,4361652,Betty Olson,0,1.2,1.7,-99
oumghv96,1717250,Denise Scott,0,-0.3,1.7,-99
bbtstj34,9078401,Robert Hopper,0,3.6,2.1,-99
pvwjya32,8599985,Bobette Green,0,-1.9,-0.3,-99
uodhyz04,9725130,April Matthews,1,-4.5,-1.9,0
brxwfh63,0290371,William Leday,1,-4.2,-2.3,-99
ntwtvs15,6891863,Wanda Leisure,1,-3.4,-2,-5
objjem45,9873122,Willie Seifert,1,-3.8,0.3,-99
ijikmy16,4858196,Randy Martin,1,-0.9,0.5,-99
pncjqv76,9999520,Walter Keithley,1,-4.1,-0.4,-99
xzbxzq48,3821896,Lois Patton,1,-1.8,0.7,-99
vkzvec37,5946046,Carrie Wilder,1,-3.3,-1.6,-99
fozxog23,1557088,Joseph Greene,0,-1.3,0.5,0
lunsvt99,3055083,Andrea Collins,0,-1.3,2.9,0
srhlyi98,6142199,Ronald Bradley,1,-2.4,1,-99
yzcgjg26,2943523,Dorothy Conley,1,-2.7,-1.3,-99
ruvdtb73,2649623,Clara Cutting,1,-1.1,2.6,-99
pkrxit05,1789142,Mary Evans,1,-0.3,0.8,-99
nsvjzf21,3087283,Julia Velazquez,0,-2.1,2,0
cbiruz57,9155808,Paula Ecton,0,-4.6,-3.5,-2.1
ljtrkm30,2073249,Ronald Rodgers,1,-1.9,0.3,5
ylttia26,1052781,Vivian Stahl,0,-3,-1.9,-2.5
llezxa80,7045820,Nell Hall,0,-2.4,1.3,2.5
qvvcyu97,1351121,John Smith,1,-3.4,2.3,5
nmyywf55,7970285,Luis Cosio,1,-3.3,-3.3,-99
oznqxs24,1746557,Joy Clements,1,-1.7,-0.3,2.5
bxdxpo28,5944892,Jill Scanlan,0,-2.6,1.7,-99
oedmuk77,2360964,Michelle Jordan,0,-4.2,-1.3,-99
kvhrcj58,4354340,Kathleen Bellinger,0,-1.5,-1,-99
unquic17,1492486,Alyssa Johnson,1,-1.9,0,-99
srpheo82,4848663,Denise Perry,0,-2.6,0.1,5
pwyiam66,3767669,William Hurd,0,-3.8,-1,-99
qkayym44,2112883,Renee Dittmer,0,-2.3,-1,-99
tlsszt87,5897509,Elizabeth Robertson,0,-0.8,3.1,-99
mlzozu61,2864217,Clay Ramsay,1,-1.8,-0,5
xuswad41,9569596,Doug Plascencia,0,0.4,1.1,-99
svvigw55,1574208,David Bourgeois,0,-4.1,-1.6,0
ufppss88,4304988,Ruth Sharpe,0,-2.1,0.2,0
tknxzo54,4882126,Roderick Ginsberg,0,-2.5,-1.8,0
sgzykq15,1420595,Dwight Hochstetler,0,-4.1,-2.4,0
okgisd91,8518035,Charissa Moon,0,-2.7,-2,0
sytorn27,5287935,Kevin Williams,0,-2.6,-0.8,0
fwnsmi03,4752205,Anthony Stewart,0,-1.9,1.8,0
vezejd19,4411449,Mona Spaulding,0,-4.7,-2.2,0
omcoaz80,9859627,Carla Roberts,0,-2.7,-2.2,0
piqovl13,4597215,Linda Mannino,0,-3,-2.8,0
fzjtgw04,7052231,Kerry Shepherd,0,-3.9,-2.2,0
ysszms07,1098601,Ashley Thompson,0,-3.7,-1.8,0
qksqhq75,4438419,Darlene Mitchell,0,-3,-0.4,0
stapqe31,3187155,Margaret Hines,0,-3,-1.8,0
fatgpe20,7655891,Brenda Headrick,0,-2.2,-1,0
tjdyvo67,9847643,James Jones,0,-3.9,-3.5,0
eqtock17,0513535,Bennie Turner,0,-2.2,-0.2,0
idfzvg30,9808295,Walter Branstetter,0,-3.3,-2,0
azlddt45,5447642,Angela Webb,0,-1.5,-0.3,5
ggmavf62,6308961,Karrie Croft,0,-1.7,1.2,5
frecbz29,1585388,Ingrid Levitt,0,-3.6,-0.1,5
naxfjd74,7706772,Edward Woodard,0,-1.6,1.1,3.3
ppjsli64,0748723,Daniel Bell,0,-1.1,4,4.1
spwpno37,1664737,Kristen Fields,0,-0.3,1.6,5
eltncw51,2471375,Pamela Gregory,0,0.2,1.7,5
mjxxey23,9643111,Etta Moffatt,0,-3.6,-1,5
mwbndf95,6253806,Mabel Pastorin,0,1.4,2.5,3.7
pxnhyo40,3358448,Jimmie Guzma,0,-1.8,0,5
vjrgxn30,3884015,Rodney Emrich,0,-3.6,0.2,-0.2
fnbggc21,2701535,Nila Silva,0,-0.9,3.3,2.5
aospjw82,9488422,James Neff,0,-4.2,-2,-3.2
suwuaz11,5000427,Dwayne Anderson,0,-0.6,0.5,2.5
hmpwfv33,8107436,Sarah Neal,0,-1.7,-1.7,0
jexxqk88,3878856,Ann Gilligan,0,-1.7,2.9,2.5
dyvckr54,1839580,Kimberly Schmidt,0,-5,-2.5,0
