uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades
krsnhv06,5449796,Frances Castlen,0,0.4,-1.2,2.5
orfhoi45,1000411,Judith Burke,1,-0.1,2,-99
jsvsfp70,8036952,Laura Herman,0,-0.7,3.5,3.3
nosahn14,3148968,Gerry Kearns,0,0.4,3.1,-99
brfale70,2168973,Larry Simple,0,-1.7,0.9,-99
jmgoss14,0191776,Janet Schwartz,1,-2.2,0.8,-99
nhqscr65,7703754,John Ducharme,0,-2,2.7,1.7
jdpnyy48,6233442,William Armendarez,0,-3.5,1.8,1.7
yntiph46,7501609,Sylvia Lopez,1,-0.2,0.7,5
pihzdr20,6627497,Michael Lohr,0,-3.2,2.4,5
figqav58,4771216,Lila Bell,1,-2.7,0.1,-99
jpqcpi33,5766054,Joann Brousseau,1,0.5,2.9,-99
ewvjbs04,4301865,Corey Gomes,1,-1.8,1.7,5
pzjvfy86,2465747,Brian Sharp,0,-1.6,2.2,0
ykhutp01,1291534,Lewis Gibson,1,-2.5,0.2,5
gjzbzi67,7975381,Marco Ward,0,3.1,3,2.5
clwvzt25,9591260,Mildred Noriega,0,0.3,0.7,0
sfwwjz73,9708102,Kim Berkowitz,0,-0.4,3.6,5
rfhjay81,5192531,Dayna Harrell,0,-1.2,-1.3,-99
jjlzuk07,4182236,Robert Spencer,0,-2.3,1.5,5
swqrjp17,8630035,Nannie Knerr,0,-4,-3.1,-99
gesear56,2040174,Michael Sargeant,1,0.4,0.9,0
dbjyak03,6348928,Milton Owens,0,0.1,2.3,0
ltojah26,2706771,Everett Brooks,0,0.5,2.4,2.5
akfeci35,7327515,Jessica Amaya,0,-1.2,1.9,-99
ppplqm24,1701169,Jesse Stapleton,0,-0.7,-1,-99
vibqiy82,1885506,Katrina England,0,-3,-2.4,-99
puoxlv97,5889128,Brenda Debruyn,0,-1.7,1.7,2.5
qabmjw27,4759069,Larry Roberts,0,-1.9,0.4,5
ukhhlt28,2994914,Maxine Shelley,0,-0.5,3.2,5
bfjkab12,1204573,Charles Clarkson,0,-2,1.6,-1.7
xrbjem96,2269091,Loraine Mansfield,0,-0.8,0.8,5
xodkow91,6994483,Richard Dick,1,-0.9,2,-99
rmswpk99,5987918,Devin Gregory,1,-1.6,0.9,-99
wtpldl52,0693015,Roger Wilton,0,1.7,2.6,5
hceywk80,7334390,William Batchelor,0,-2.1,1.3,5
fzqwkb50,9515292,Madeline Barlow,1,-1,-0.6,-99
uxlvgg48,9557317,Amos Lockwood,0,0.1,1.5,1
evzzuc65,9996415,Eric June,0,-4.5,-0.6,-99
imjosc89,3492017,Joseph Arroyo,0,-0.1,0.4,0
woxffe87,4505899,Kathy Hatfield,0,-1.6,1.4,-99
xvzman39,3598178,Joan Dye,1,-2,0.8,2.1
jscbrs03,8306275,Danny Mazzariello,0,-0.8,-0,0
hsptpd31,6235315,Ralph Horvath,1,-0.6,0.4,-99
oedgbm06,4668148,Emily Stavros,1,0.3,1.3,-99
kqjekt11,1658014,David Harris,0,-1.3,1.2,3.3
ktibnt42,7783897,Jonathan Hall,1,0.2,0,2.5
kzcdqk16,6493966,Aubrey Bowman,1,-3.1,1.8,-99
cypakn95,7464067,Michael Rowden,1,-1.2,-1.7,-99
nsmvqu07,2122171,Juana Withers,1,-1.5,1.5,-99
dkhzbl13,8982836,Sandra Roberts,1,0,-3.3,-99
rchfsw91,1888478,Jennifer Jimeson,1,-1.8,2.3,5
cxpuue13,1555267,Kimberly Schut,0,-1.7,1.8,-99
awfuej38,1687683,Misty Cruz,0,-2.4,-0.7,-99
xqqzok05,8443097,Eric Willey,1,0,1.4,0
jynvpy36,4366403,Mary Martinez,0,-1.9,-1.3,2.5
hmubrp55,4010661,Debbie Ryan,0,-4,-3,0
xovuol96,3431053,Douglas Rankin,0,-0.7,1.1,0
opjhdj01,1933425,Shavonne Collier,0,-1.4,0.4,-99
wtuvhy38,5591688,Marc Nelson,1,1.1,3.8,5
mxjnsc31,7248820,Danny Lewis,0,-1,1.2,-99
dccsxv99,2893315,Stephanie Williams,0,0,0.5,-99
auymoz89,6166613,Evelyn Constantine,0,0.4,1.4,-99
vwsroq55,8992972,Emma Taylor,1,-4.7,-2.9,-99
fiiibu91,7915553,James Blair,1,-0.3,0.7,-99
mriudn40,9204441,Terry Martinez,1,-2.8,0.1,5
jtdfah47,8249085,Willie Collins,0,0.9,1.7,0
pgipwr55,3093186,Joseph Maranto,0,-3.9,-3.1,-99
