uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades
chbacv96,2504859,Alvaro Simmons,1,-2.7,0.9,-5
ubsbds94,0727479,Melissa Carter,1,-0.1,1.5,5
vecdgn44,1035040,Julie Gauthier,1,-0.7,-1.5,2.5
csjmku12,8423416,Nicole Chandler,1,-1.5,1.7,5
patclf87,2046022,Fredrick Marshall,1,-0.6,0.1,-99
yqyrzg50,9114910,Edward Carpenter,1,-3,1.2,5
tdykow68,9995470,Ken Nitta,1,0.3,2.7,-99
bazxbl58,8137599,Ben Sauceda,1,-1.2,1.9,5
egyvqp65,9692706,Clifford Shaw,1,-3.9,-0.8,1.7
cxhzif61,2881251,Paul Boswell,1,0.7,2,-99
vopwjs43,1446558,Barbara Adcock,1,-1.9,-1,-99
mmtzri96,7945448,Michael Deramus,1,-2.8,-0.9,2.5
vnfmtl49,6956581,Irene Taylor,1,0,1.3,-99
iqwgku85,3280669,Maryanna Fryar,1,-2.4,-0.4,0
dfszrm27,6101517,Michael Madera,1,-1.5,0.5,0
sylxem46,3544657,Ruth Christman,1,-0.6,0.1,-99
mtoura67,6741939,Amanda Woodard,1,2.1,3.6,0
onpvcs29,3696188,Deanna Adamczak,1,-2.1,0.4,5
xxqjtj67,7477065,James Pennock,1,-4.6,-3,-99
xoihcp72,6936565,Barbara Gibson,1,-2.5,2.9,-99
gsxmcd92,8838485,Christopher Flanagan,1,-1.3,4,2.5
sqslyv09,0763187,Heidi Schmid,1,-3.3,-1,-99
xrwiom03,6380690,Amy Davis,1,-1.6,0.2,-99
uyzyji15,6009603,Edwin Pollack,1,-5,-2.9,-99
boorlx83,6297487,Russell Stuart,1,-0.8,1.9,-99
wrqwmn38,2683358,James Potter,1,0.5,1.7,5
rzyhdc52,0436081,Joseph Mcintyre,1,-2.7,1.5,0
rrlyxx65,4955800,Amy Rickert,1,-1.7,0.5,-99
ifyigd42,0807377,Susan Goode,1,-2.4,1.1,-99
rmbzig03,2909398,David Munoz,1,-4.3,-2.9,-5
bzcpyd39,7224596,Sarah Howell,1,-3.1,2.1,0
schooh43,4062829,Jerry Wittner,1,-0.9,1.5,5
hnctxe76,3258828,Timothy Nieves,1,0.2,2.3,2.5
rqtnyd68,9141609,Thomas Arebalo,1,0.6,0,-99
extxwm56,5940247,Samuel Perez,1,-1.1,0.2,2
ijllfy19,9449226,Randall Benzing,1,-1.2,3.2,1
pyxyjw40,3346615,Richard Cornejo,1,-2.8,-0.5,4
leghck11,0911667,Juan Smith,1,-0.1,2.2,0.9
bxylqe46,6585338,Gary Oglesby,1,-3.3,0.8,1
nhopqv83,4453718,Matthew Haist,1,-1.2,1.2,2.7
eolvcs17,0480313,Robert Buchholtz,1,-2.9,2.5,5
pxjlqb85,0047434,Lawrence Medina,1,-1.9,1.7,4
glpivf01,3498185,Juan Whittman,1,-0.3,2.8,1.7
lrarme88,6752032,Henry Connolly,1,0.4,0.1,4.5
aimxwq13,3285247,Jennifer Harris,1,-1.7,1,-0.3
cbbrbd42,8466432,Michelle Melton,1,-0.5,1,4
bcnols30,1598238,Deangelo Thomason,1,-1.4,2.3,2
wvhryw30,9225657,Donald Holt,1,-3,1.3,-1
rgwgrw26,8313631,Harold Earnest,1,-4,0,0
szttpa79,4169291,Daniel Vest,1,-1.7,0.4,3
yfbjbc48,9665152,Ashley Spradlin,1,-0.3,2.7,5
