uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
phewcv15,0643887,Luther Randall,0,0.2,4.2,1.4,4.5
sysmdq46,1043388,Robert Lazenby,0,0.7,0.8,5,1.1
qblmog24,4706736,Mary Blanks,0,-3.3,-2.4,-2.9,-3.8
bivatc50,9836936,Glenda Torres,0,-0.7,3.1,3.9,2.2
fugact62,0841848,Jacqueline Gutierrez,1,-0.7,1,3.4,3.5
bywnps83,1306738,Kathryn Goldberg,1,-1.5,1.1,3.7,1.4
enljyq66,1821094,Mary Curly,0,1,1,-99,4.9
idtogb25,7891467,Jay King,1,-2,1,1.1,-1.4
yeowzc84,9753851,Jacqueline Beaver,0,0.2,-0.4,-1.1,3.6
pqxnxv28,7583342,Brigida Lumpkin,0,1.3,2.9,1.7,3.8
dxzlak98,3435557,Lucia Wenzel,0,-2.3,0.9,1.3,-3.7
csrjlk38,4045784,Myrtle Brooks,1,0,4.1,4.5,-4.2
heyvod04,8269365,Arlene Clouthier,1,-0.4,1.6,0.3,-3.8
amfsns08,0222520,Thomas Schaff,0,-0.8,0.7,3,-5
jxbnpj58,6499647,Alva Duncan,1,-1.5,-0.6,1,3.2
bmlghl76,6343005,Carolyn James,1,-5,0,0,4
mummjc94,7779312,Dexter Kim,1,-0.5,5,4.8,4.9
ojgxmn40,7322798,Steven Hughes,1,1.7,3.1,3.6,0.8
npfcqz56,6810010,Darren Roupe,1,0.9,2.2,3.2,-5
qxncgs76,6658177,Michael Ridling,1,-0.3,1.8,1,2.3
afykjv42,8020407,Karin Tran,1,-3.9,0.6,-0.3,3.4
nroums44,1355736,David Holmes,0,-3.6,2,2.9,0.9
gvuhkd98,7080533,James Kauffman,0,-0.9,2.2,1.7,3.6
ykbadu02,5072625,Hazel Monteleone,0,0.9,2.5,4.9,3.9
myxprq86,6243767,Willie Perlman,0,-1.2,-0.3,2.1,4.1
ptdaeu29,9935026,Nelda Jose,0,-0.5,1.8,1.3,1.7
kewwlz28,0762050,Abram Davis,0,3,5,4.7,4.3
gxyoyl36,9640529,Christina Craig,0,0.8,1.2,4.8,4.9
ioncqz37,4051702,David Martin,0,1.5,1.2,1.5,-1.8
ftexkj32,4753821,Beverly Valencia,1,-5,-5,-4.4,-5
skceij08,0413947,Geneva Gans,1,0.6,3.7,0.3,3.4
cjgzqo82,0975233,Brandon Cook,0,-0.2,0.6,1.5,2.3
fiijuq94,2474506,Humberto Chavez,0,-2,-1.4,0.5,3.4
gmbatw96,8039531,Annie Rauch,1,0.3,2.5,3.6,1.7
hqcung86,6363335,Sabrina Krueger,0,-4.4,2.7,2.9,3.6
zgvfpj00,2370067,Willis Bruckner,0,-2.2,3.1,1.5,-0.4
iivcxc56,6724344,Tommy Seidman,0,0.2,1.1,-0.5,1.4
ufcicw93,4031208,Mary Yoder,0,-0.3,0,2.8,-4.7
snueym01,5105862,Duane Conner,1,0.3,3.3,3.9,-1.7
jupyzb97,3793476,Benjamin Roach,1,0.7,3.2,3.7,-3
rdzymg84,2245615,Donna James,1,-0.6,1.3,5,2
ipiomi10,5440456,William Iglesias,0,-0.6,-1.2,1,0.3
tjcdec09,9162027,Roland Bonney,1,-0.6,0.1,1.1,-0.1
itxewp55,5508935,Scott Mcdonald,1,1.3,2.8,0,-4.5
yumwmg80,8515381,Pearl Shaw,0,-99,-99,-99,-99
ggehbf16,9218206,Christopher Appleton,0,-3.2,3.2,1.7,3.5
xziihi01,3914854,Craig Doyle,1,0.3,3.9,3.2,0.8
dwtusf76,4889040,Walter Fiaschetti,0,0.2,2.1,3.3,0.5
dqoklg44,4847882,Christopher Munday,1,-0.7,-0.2,2.1,1.7
celwng66,3751617,Derick Johnson,0,-1.9,3.2,4.6,0.8
fucjjs97,5046310,Patrick Dunn,1,0.6,1.7,0.7,-3.9
tvahre69,7320495,Judith Morgan,0,-1.7,1.7,1.3,3.4
hamacx16,9827411,Mae Petersen,1,-1.9,-2.2,1.1,-2
gxnaxd85,5208926,Martin Morris,0,-0.8,4.8,3.4,2.9
eqjivb61,6924771,Jane Bryant,0,3.2,1.8,4.5,1.3
kklllh06,7651352,Linda Leavy,0,-0,1.8,-0.5,4.4
vvaixn48,4880417,Richard Ulrich,0,0,0,0,-3.2
wqzjka89,8390725,Eugene Rosol,0,-2.1,1.5,2.4,3.9
mcdutc28,8028541,Lance Long,1,-99,-99,-99,-99
hgobnb91,8492210,Patricia Swasey,1,-2.3,0.9,1.2,2.3
bjczmm49,6890848,Thomas Prezzia,1,-2.4,2.6,4.7,3.6
viynie32,0940300,Pablo Crumrine,0,-0.8,3.4,4,2.6
anhqei91,3147641,Wilfredo Taylor,0,0.8,2.9,1.9,2.5
bbxwjt41,3044238,Thomas Rumpf,0,-4.8,-5,-1.5,-4.9
ikttgd66,4905754,David Goad,0,0.7,1.7,2.9,1.8
uhvgof86,7667400,Larry Roberts,0,-2.2,-0.4,3.4,3.3
rmnbzs40,9862087,Robert Saucedo,1,0.4,2.2,1.5,-4.2
fsenkt90,0469682,Edna Alcazar,0,1.1,1.1,0.3,1.4
xprbla13,2542708,Katie Donovan,0,-3.9,-1.8,4.6,4.7
qpftzt08,8637714,Christopher Vela,1,0.5,1.9,4.5,2
idnarb19,5142002,James Brewer,0,0.3,3.9,-0.6,4.1
yplcda27,8369679,Audrey Jackson,0,1.1,3.6,4.2,3.3
