uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
tfekqh74,6117752,Christopher Cavanagh,1,0.1,0.2,-0.2,-99
wstovh88,3470404,Luis Dulac,1,0.8,2.1,4.3,-99
peieeq63,7791432,Melvin Jenkins,1,0.9,1.6,3.7,-99
duqobq36,3923300,Jerome Laborde,1,-0.9,-0.8,0.2,-99
jljopu35,5193590,Richard Mcarthur,1,-4.2,-3.1,-5,-99
mjcncc32,9648929,Edna Bridgett,1,0.5,3.9,3,-99
famtqj72,6735190,Mary Reynolds,1,0.3,2.5,3.6,-99
tqdthz63,9646489,Leslie Carns,1,1.5,4.4,4.4,-99
tenwjn05,4518645,May Leon,1,1.3,4.4,4.4,-99
vxqbkn62,3248793,Henry Hopkins,1,-1.5,1.9,1.6,-99
zyzokx04,8708044,William Drelick,1,-0.6,0.3,1.7,-99
heauqx56,2478579,Frank Young,1,-0.6,4.1,4,-99
dfpgbt22,6570659,Larry Reyes,1,-0.3,0.7,3.8,-99
dhkqll66,9215129,Kathleen Zabawa,1,-1.2,4.5,3.8,-99
jyyhni75,4563887,Nadia Lovan,1,-3.5,3.3,4.1,-99
bbhlnw33,1198331,Sandra Aplin,1,3,4.1,4.7,-99
tbnhmu55,9330572,Jaime Powell,1,-2,2.9,4.6,-99
mtqpoa11,4393326,Vicki Stephens,1,-0.8,2.7,3.2,-99
dxnmtc39,7328564,Betsy Dowd,1,-0.4,4.4,1.7,-99
fjxrpl54,1530410,Dawn Lynn,1,-4.2,-3.9,-4.1,-99
xrrsug54,6380744,Rhonda Ray,1,-0.2,1.9,4,-99
obqcjp77,2038319,Nicole French,1,-0.4,1.4,4.2,-99
uvgdfs73,2216178,Mary Bowser,1,0,3.8,4.3,-99
tnlujw56,0136776,Bob Newsom,1,-1.2,2.8,3.2,-99
xvbhql53,0432168,Alice Sullivan,1,-3.8,0.9,-0.5,-99
duuuzb23,4326303,Megan Owens,1,-1.1,1.9,2.8,-99
thzdcc12,3553828,Mathew Kuykendall,1,1,2.4,4.7,-99
vhhnqg48,2554957,Anthony Webb,1,2.8,5,2.9,-99
pkzpvn68,4173936,John Allen,1,0.3,4.6,4.7,-99
zsrtde96,6015238,Norman Scelzo,1,0.2,2.6,3.2,-99
gzcahm98,8448446,Angela Dankert,1,0.3,0.8,0.6,-99
mqjrvx18,1772589,David Ogden,1,-0.2,2.7,3,-99
ubszqm49,3092991,Richard Stevens,1,5,1.1,4.9,-99
hsdtbk23,7250144,Kenneth Moreno,1,2,3.5,4.1,-99
kmqskz81,7365282,Marcella Ruesga,1,-1.8,2.2,1.3,-99
wfgmkb86,0059508,Carolyn Harrison,1,-2.4,2.9,3.5,-99
uogudp09,0811315,Bertha Gorski,1,-0.5,2.2,2.1,-99
elhutx17,2116106,Charles Wakefield,1,0.4,4.2,2.5,-99
oqouga01,5545365,Terrie Franklin,1,-1.8,1.2,0.9,-99
jvnyfx71,3020511,Charles Simmons,1,0.5,4.2,4.4,-99
vwowob41,6728222,Josue Anderson,1,0.2,3.5,3.6,-99
ubqmfi05,6395156,Ellen Stolar,1,-0.5,2.5,4.8,-99
ofmjhe16,8213259,Samuel Osuna,1,-2.3,1.1,2.6,-99
bgsefi45,1398982,Lauren Frizzell,1,0.3,2.8,4.2,-99
efozfg14,6598467,George Laundree,1,0.1,1.7,2.9,-99
jwtntc06,4963139,Bennett Gallardo,1,0.1,3.3,2.8,-99
raguak83,4629960,Drema Rodriguez,1,0,0.6,3.5,-99
fcjxtt05,1611448,John Alexander,1,-2,1.5,4,-99
qheauj75,5215300,Robert Grabner,1,-5,5,-4.2,-99
hephbe84,6261659,John Linsky,1,0.7,3.5,3.2,-99
nluonh37,0966235,Danille Morrill,1,-0.8,5,3,-99
xipdlp94,8679171,Deborah Taylor,1,0.5,2,4.5,-99
nfipfu01,0061338,Joseph Black,1,0.1,0.3,1.9,-99
jsqsqp60,8772392,Margaret Im,1,-4.5,-4.7,-4.9,-99
kmldjz53,2570376,Henry Neang,1,-0.8,2.5,1.1,-99
