uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred,adviser_name,staff_id
gnvkir50,5972171,Robert Wingham,0,0.6,4.1,1.3,4.5
cxcgce67,0472640,Connie Raiola,0,0.2,0.8,4.8,1.1
kchwqg43,1906014,Jose Farrar,0,-3.4,-2.6,-2.7,-3.8
thnjqz47,3627491,Ian Ernst,0,-0,2.7,4,2.2
qudbmq06,1581462,Joseph James,1,-0.8,0.4,3,3.5
zpravs04,8796742,Barbara Kreitner,1,-1.4,1.2,3.6,1.4
utvukf48,1080916,Ernesto Mcdaniels,0,1.7,1.7,4,4.9
bndkey09,3689695,Dustin Steiger,1,-1.8,0.9,0.6,-1.4
pxciuc42,2718048,Linda Mcbride,0,0.7,-1.4,-1.9,3.6
uqhlgp80,4276121,Karen Johnson,0,1.2,2.7,0.8,3.8
jjykje33,9583042,James Meadows,0,-2.3,1,1.5,-3.7
oaqedc97,6055120,James Hardin,1,0,4.2,4.3,-4.2
zvatxf12,4402575,Erica Martin,1,-0.1,1.7,1.6,-3.8
vdqmzp17,6437455,Jaclyn Pursley,0,-0.8,2.7,2.6,-5
fjrhva16,3192005,Paul Mann,1,-0.7,0.6,1.8,3.2
twnahi44,6598387,Marissa Witcher,1,-5,-1.7,0,4
zrzzpm23,0846438,John Brant,1,-0.1,4.9,4.8,4.9
qktupt06,9135857,Mildred Reamy,1,2.3,3.3,3.6,0.8
cguhds47,6202968,Lorraine Johnson,1,0.9,1.9,2.6,-5
pjcnyk80,9358453,Kristine Flowers,1,0.3,1.2,2.2,2.3
jqzcew47,8985113,Michael Mcclary,1,-3.6,0.9,-0.4,3.4
dakvof05,1191803,Keith Aldridge,0,-3.7,2,2.4,0.9
fjogiv13,2954967,Byron Phares,0,-0.6,2.2,1.8,3.6
tspkve27,2594685,Jennifer Hamlin,0,0.9,2.6,3.7,3.9
dqseww10,0800026,Nicole Greene,0,-1.3,-0.4,1.9,4.1
xldaap90,9107796,Laura Watkins,0,-0.2,1.6,1.6,1.7
byzcki81,5034832,Marie Carr,0,2.3,4.2,4.7,4.3
yhyxbp19,8873072,Brenda Reyes,0,1.1,3.2,4.9,4.9
lbjwld50,8492406,Marion Amyx,0,1,-0.6,0,-1.8
wxeebl22,4995853,Ryan Boshard,1,-5,-5,-4.7,-5
rnjmji69,3375990,Felix Cusick,1,0.8,3.5,0.6,3.4
cmqsda39,5290194,Marion Harvin,0,1.6,2.6,3.6,2.3
zstiri69,1037794,Hillary Yohe,0,-2.2,-1.3,0.9,3.4
uufuvn89,2646078,Alberto Wright,1,0.3,2.1,3.2,1.7
dmykoz60,2756951,Kathleen Walden,0,-4.4,-0.4,2.6,3.6
yhgkci26,1856495,Lester Sowers,0,-2,3.1,2.3,-0.4
nawqdh44,2101926,Keith Keefer,0,0.6,0.7,0.3,1.4
egejvb49,7520510,Patrick Lincoln,0,-0.4,0,2.9,-4.7
bpwqrm94,6548380,Michael Monroe,1,1,4.5,4,-1.7
ulbgid26,5203544,Sophia Jackson,1,0.5,3.2,2.9,-3
isbvkr64,2500842,John Hooks,1,-0.5,3.3,5,2
mlplfl52,7916466,Timothy Hernandez,0,-1.2,-0.7,0.2,0.3
eetgrm36,9121497,Lavonia Acker,1,2.2,3.8,4.3,-0.1
zvrlui25,4691814,Mary Phillips,1,1.5,2.7,0,-4.5
zqpnrl66,0511747,Christina Binder,0,-99,-99,-99,-99
jkezrq98,1991354,Nancy Johnson,0,-3.9,3.8,3.3,3.5
yynmku21,7435185,Jacqueline Dowell,1,-0,4.1,3.9,0.8
hlbcyh51,8470687,Emily Anderson,0,0.5,3.2,3.3,0.5
bkyewt85,1261314,Justin Anderson,1,0.6,-0.9,3.3,1.7
uepvqs87,2116764,Samatha Prince,0,-2.2,2.2,3.2,0.8
fpuqnf70,4994141,Mercedes Nelms,1,0.7,1.5,2.1,-3.9
pzlckk91,8303653,Joyce Vanpelt,0,-0.2,2,1.3,3.4
nsqach86,2143756,Shannon Jones,1,-1.9,-1.9,-0.2,-2
advtkz58,7592448,Billy Guest,0,-0.4,4.7,3.3,2.9
hslffn83,2442257,Diane Noonan,0,3,2.1,4.4,1.3
wqozlz55,1111676,Anthony Wells,0,0,3.1,3.6,4.4
reurnj18,1664421,Lizabeth Wingate,0,-3.8,-3.2,0,-3.2
ucauhc94,6229853,Andrea Guthrie,0,-0.7,2.1,2,3.9
extjns10,2633820,Sharie Miller,1,-99,-99,-99,-99
ywtstr81,2180285,Casey Cuen,1,-1.9,1.6,2.9,2.3
ritanj88,0559522,Geneva Mendoza,1,-2.4,2.6,4.7,3.6
eumqai22,5302330,Mary Scharich,0,-0.2,3.8,4.3,2.6
yyhnha78,3266802,Gladys Smith,0,1,2.9,1.9,2.5
axqsgm61,6096013,Christopher Hemphill,0,-4.5,-4.4,-1.6,-4.9
