uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
kdwgoj61,8213318,Amelia Mcadams,0,-1.9,-1.2,0.1,-99
hylojy86,4289532,James Scarborough,0,-0.2,3,4.7,-99
dkgfbf03,6746431,Johnnie Smith,0,-2.2,5,-1.8,-99
vhclkm59,1005270,John Wilson,0,-1.7,-2.2,-2.7,-99
rnsjer68,7831964,Silvia Johnson,1,-1.4,-2.4,-2,-99
vejgvh73,1841441,Luz Hewitt,0,1,4.4,4.1,-99
agetai36,5826163,Gladys Johnson,1,-3.4,-1.1,-99,-99
npotub51,4157205,Janet Lagrone,0,-3.9,-3,0,-99
zeylbg11,4154217,Richard Brown,0,3.1,3,4.8,-99
ubjozu06,7508179,Joel Myles,0,-0.3,4.1,2.7,-99
liupoz01,7100275,Benton Mccosker,0,-2.5,-0.5,0,-99
jofpof29,8371332,Cherie Peitz,0,0.7,2.5,-3,-99
paclws80,3515809,Thomas Nock,0,1.1,4.3,4,-99
esvvki74,4437586,Millie Lawton,0,-1.4,1.1,4.2,-99
hoimrl05,4406000,Peggy Bravo,0,-2.5,2.5,-0.3,-99
cjsxto32,6379283,David Jarvis,0,4.1,-1.7,4.4,-99
ukfxnt20,6151172,Elizabeth Loggains,0,-4.3,-3.8,-5,-99
xhwrey19,3287673,James Dooley,0,-99,-99,-99,-99
idgvmn32,0293400,David Gee,0,-1,0.8,1,-99
mrpuqa19,9984915,Morris Johnson,0,2,3.9,3.9,-99
jtlohy85,8606188,Karl Mccage,0,0.6,3.6,4.2,-99
drhuus78,0690985,James Carlo,0,-4.8,-3.2,-3.1,-99
lvqjzq62,7220881,Charles Fenster,0,1.8,4.2,2.5,-99
utethb05,4352019,Brenda Vidal,0,-4.6,2.5,4,-99
yaxoww42,8246592,Robert Manning,0,-0.4,0,-1.3,-99
fedtma74,0410368,Virginia Carson,0,-0.8,3.1,4.8,-99
vxkycw18,5200147,Mark Perry,0,-0.1,2.3,4.7,-99
epwhlo12,6759796,Evelyn Karp,1,-1,-0.1,2.5,-99
boahke77,0018807,Mary Swedlund,0,2.5,5,4.3,-99
xmtbnk42,3176818,Sherri Brazill,1,-2.3,-2.5,-5,-99
fdmsjx48,2266461,Larry Baxter,0,0.8,3,4,-99
mtynel98,6256622,Jacob Maddox,0,-2,0.7,5,-99
ojnnap51,5583031,Peter Click,0,0.3,4.7,1.6,-99
iwnaog24,8564580,Eric George,0,1.7,0.8,2.6,-99
rwikqx31,9355202,Kristie Burch,1,3.1,4.2,2.2,-99
sohoiz06,1708126,Philip Pruitt,0,-4.9,-3.5,-4.3,-99
huvrhe13,2714237,Latina Murdock,0,1.6,4.7,3.2,-99
ppzeuq39,4907091,Jordan Clark,0,-0.8,3.2,3.2,-99
hsjqhz39,7750898,Jessica Zolezzi,0,-0.2,4.3,3.2,-99
rukjtq25,2701936,Cynthia Metoyer,0,1.6,4.1,4.3,-99
uotyyw68,6667810,Nicole Leser,0,-5,-5,-5,-99
tazpnm62,7634191,Ramona Vitt,0,0.1,0.8,0.1,-99
ibwrjo49,5204343,Dante Noyes,0,0.2,-0.9,0.7,-99
uihdkz04,7750607,Irene Valerio,0,1.3,2.9,4.4,-99
zdqpgc49,3157881,Marguerite Davidson,1,2,3.2,-0.3,-99
gfmlbf50,3961498,Lori Burtner,0,1.3,2,1,-99
kqztaa53,5936183,Daniel Tiemann,0,3.6,3,4,-99
jajllf76,0041882,Flossie Fish,0,-1.6,2.7,2.2,-99
fqswlv70,5209074,Margaret Brewer,0,-1.6,0.3,0.1,-99
eipppt04,3794562,Christina Hurley,0,-1.1,-0.2,0,-99
tzlvkz74,0229231,Eric Willsey,0,-1.7,-5,0,-99
onwpor48,5806394,Kelvin Flores,0,1.6,2.5,3.1,-99
yatqim52,6843213,Bryant Devine,0,-0.2,3.5,3.9,-99
cqzyjb61,7566331,Michael Johnson,0,-1.5,0.9,0.6,-99
xvetnl07,6897256,Kathleen Selvidge,0,1.3,2.8,2.2,-99
dygdma60,5393928,Jennifer Abdullah,0,1.5,2.1,4.7,-99
hdvovu22,8643066,Jeffrey Fields,0,-1.7,0.4,3.2,-99
kwtafs53,2460081,Eugene Henry,0,-99,-99,-99,-99
dzyamd84,6526512,Richard Cox,1,-0.6,2.6,2,-99
diolfk76,7325679,Wilbur Shelton,0,0.9,1.7,3.3,-99
tbzxou14,0950543,Sarah Valenzuela,0,1.5,3,2.5,-99
kcvedr35,8365743,Henry Layton,0,-2.6,-2,4.7,-99
aassax80,0894666,Erich Paulson,0,0.1,2.5,0.5,-99
acudzv62,4523642,Joyce Peters,0,-0.1,1.3,4.7,-99
juygee92,2321654,Patricia Henderson,0,-5,5,5,-99
rdponi87,8387895,Edward Brown,0,-1.9,3.3,2.5,-99
lgiizq08,7890338,Amy Ealand,0,-5,-5,-5,-99
puibtf46,8534236,Diana Davis,0,-0.8,-1.2,-3.5,-99
plgzti43,7378072,Melissa Ratzlaff,0,0.3,1.2,3.5,-99
ygmdkc88,2210419,Max Rivera,0,-4.3,-2.9,-1.8,-99
yzcnvf08,5070496,Ann Brown,0,-2.1,4.3,3.9,-99
dbrmdz72,8926352,Stacey Castillo,0,3.8,4.9,4.8,-99
vpvlsm39,9460236,William Sin,0,-5,-2.5,5,-99
bgumzx52,5405272,Louise Swank,0,-3.1,1.2,3.5,-99
etwwmd07,3117038,Richard Brinda,0,-5,2.5,3.5,-99
miozhp98,4619669,Kenneth Celestin,0,-3.6,-0.6,0,-99
izbpax55,7119568,Tonya Tribbett,0,-5,-5,-5,-99
xciswo31,5182076,Jodie Crawley,0,0.7,3.4,3.2,-99
cmedwa33,7502698,Joseph Richardson,0,3.2,2.3,1.6,-99
mvklqr22,5500253,Jenny Walker,0,0.8,3.8,4.1,-99
wdnmzm25,8350680,John Campbell,0,1.4,1.8,1.2,-99
fhsmjj37,1942797,Colleen Bauman,0,-0.7,0.8,0.5,-99
cbhtdi02,6817143,Mildred Morrow,0,-4.2,-1.2,2.5,-99
cvjrpp36,4450052,Iva Haraway,0,0.9,1,4.1,-99
jejpmg19,2855268,Patricia Sobania,0,1.5,3.2,2.2,-99
mmbqpi87,5229220,Sandy Wimmer,0,-5,1,-99,-99
spgrvc70,6535122,Robert Johnson,0,2.2,2.6,0.9,-99
datord86,1910132,Malcolm Wright,0,0,5,4.3,-99
xsqfpp00,4347164,Derrick Burger,0,-2.5,-1.2,5,-99
cjyymq10,5073788,Leonard Carter,0,-2.3,1.7,3,-99
sotvej63,9202928,Denise Roque,0,-0.6,1.8,3.7,-99
mvhwsx16,5523181,Carl Scurry,0,-1.1,3,3.9,-99
anfxoq62,7695965,Patricia Mahoney,0,-1.1,2.6,3.8,-99
gwuons49,5502748,Kenneth Benavides,0,-1.7,-1.2,0.1,-99
ehojfu30,0047589,Sandra Mann,0,-5,-5,-1.7,-99
aceulg53,0804171,Marie Bergsma,0,-2.5,0,0.7,-99
fpglqc14,2168768,Larry Bramlett,0,-0.9,3,3.9,-99
wkhsmp38,4005986,Ed Chambers,0,-1,1.7,2.3,-99
jvrbyl08,4214890,Mark Mock,0,-0.7,0.4,2.1,-99
smzkhq52,2571932,Dorothy Turley,0,-1.1,4.1,1.4,-99
uksusn17,3069298,Mark Duffy,0,0,3,2.9,-99
uugufa57,7156487,Rosie Wright,0,-3.8,0.5,5,-99
nqrmtp93,0221763,Charles Almond,1,-2.3,-1.7,1.9,-99
kkocsq52,5306172,Brittany Allmon,0,0.1,2.1,3.7,-99
hjvrgp12,4576374,Jessie Myers,0,2.9,3.1,3,-99
cbhplo12,5017074,Charles Crown,0,-5,-5,-5,-99
mpwmmy57,6657227,Dave Dillon,0,-1.9,0.8,-0.8,-99
zchyue95,8007294,Craig Peoples,0,-1,1.1,0.2,-99
urzwap65,6608132,Elva Hines,0,-1.4,2.2,3.5,-99
bloomd47,6418050,Mary Fisher,0,-1,1.8,4.3,-99
cszyej11,5192017,Ronald Lewis,0,0.8,3.3,4.3,-99
cjumlp90,2733013,Ellen Souter,0,-3,-2.5,-2.3,-99
zzydsr73,9303777,Anna Singh,0,0.3,2.8,4,-99
ohjewu66,9523988,Carolyn Singh,0,-3.8,-3.3,-3.8,-99
wvdgaj52,1810529,Christopher Cruz,0,-0.9,2.9,1.8,-99
dowyue31,1194818,Mary Hanson,0,-99,-99,-99,-99
uodosz84,3791258,Willie Smith,0,-3.9,2.1,2.4,-99
vdtrgd62,6311230,Joan Beauregard,0,-4.9,-3.8,-2.9,-99
akimnj84,2312417,Lois Double,0,-0.2,2.4,3.3,-99
tkxcut66,2914400,Anthony Woods,0,-1.5,-1.1,-0.4,-99
oxnlbn44,9479570,Zachary Lopez,0,-4.4,-3.9,-5,-99
vwddth17,3212853,Rita Fennell,0,-2.9,0.5,1.4,-99
jvjtfm72,5735663,Emma Gonzalez,0,-0.3,-0.8,1.8,-99
gtjebp09,1510832,Kevin Morgan,0,-99,-99,-99,-99
gboayq08,3079455,Vincent Delligatti,0,0.1,2.3,2.5,-99
efsxip64,0436503,Sharon Diaz,0,-1.4,3.3,2.1,-99
aodloq40,5599505,Teresa Hill,0,-5,0,-99,-99
jvtanl60,9357545,Merle Young,0,-2.9,-1.1,0.9,-99
wkiiwn02,9111389,Sarah Bonner,0,-99,-99,-99,-99
wgodpx19,4703078,Jennifer Lam,0,3.5,2.9,1.7,-99
gobudr03,6245900,Stephanie Gerhart,0,0.1,-0.5,-99,-99
rzthej66,2486403,Jennifer Grignon,0,-2.7,4.4,2.2,-99
svehwq15,1230781,Irma Plank,0,1.2,4,4.6,-99
hbugzd68,6174244,Charles Scott,0,4,4.6,4.5,-99
hsassd67,8855729,David Clark,0,-0.8,0.9,4.2,-99
rzfdjq17,0021271,Alexander Edwards,0,0.2,3.6,3.1,-99
torjds43,7388637,Landon Donahue,0,-2.6,-0.4,1.6,-99
vauwae59,4003741,Barbara Tiscareno,0,-1.3,4.4,2.5,-99
gjjuma40,9603977,Katherine Lightsey,0,-0.2,2.4,3.7,-99
krwsgr04,7065781,Tomas Johnson,0,-0.3,2.4,4.8,-99
vfznfy63,1517204,Anna Koski,0,0.9,3.6,3.2,-99
svnmqh42,4077912,Ralph Crum,0,-0.9,2,2.8,-99
qtdqkx24,4999219,Myra Ford,0,1.4,2.9,4.4,-99
ismqpy37,8210184,Adeline Arko,0,-1.1,1.7,3.9,-99
qygrgt78,6724889,Keisha Corriveau,0,-2.6,0.5,-0.2,-99
npggxb36,7122411,Rene Shafer,0,-1,3.3,4.8,-99
uvvtee62,7346938,Louise Tyler,0,-2.7,2.6,4.2,-99
oybhlt88,3664052,Bonnie Runyan,0,-1.4,0.9,3.5,-99
arjzaz91,4096235,Edith Voorhees,0,-2.8,2.5,3.5,-99
rlvvfx06,9965524,Kenneth Sanders,0,1.2,3.9,2.4,-99
plnecm67,4690130,Jane Harris,0,0.1,3.2,3.7,-99
ynvcjc03,5700736,Albert Brainard,0,-2.5,5,5,-99
mpgiim23,3914677,Marc Wammack,0,2.1,5,3.8,-99
vqmwek61,6327130,Patricia Sample,0,1.2,3,4.3,-99
lagcru23,5173730,Stacey Sales,0,2.3,3.8,4.7,-99
jrjyth34,1547950,Thomas Brown,0,0,3.1,2.4,-99
hvlcox83,9447545,Caroline Lopez,0,-2.3,0.1,5,-99
olxinm01,8297347,Walter Perez,0,-1.7,1.7,4.5,-99
oosknm68,9840580,James Milot,0,3.4,1.7,5,-99
zxzhfr30,3816428,Sharon Mcmillen,0,0,0,-99,-99
iscssx68,9130671,Donna Roberts,0,-0.3,3.2,4.5,-99
lyumeo15,8674679,Rebecca Welch,0,2.4,5,4.6,-99
vvikut21,6817396,Tiffanie Roberts,0,3,3,4.6,-99
kffrxr81,4530606,Edmond Baremore,0,-0,4.3,4.3,-99
iqgngp25,9718674,Charlotte Costales,0,-1.7,2.8,3.9,-99
zpywum23,3120686,Marc Bennett,0,1,1,1.3,-99
eqtkxn31,6888110,Rodney Correa,0,1.9,3.6,4,-99
vapexw72,7607473,Tracy Davis,0,1.3,3.2,3.2,-99
swqxvt44,6941596,Hallie Hisey,0,-2.5,5,5,-99
undjxv39,6698509,Joseph Foster,0,1.2,5,4.7,-99
vgygvm87,9090268,Sarah Latigo,0,0.6,5,5,-99
uvyyhc79,9075006,Cynthia Goodwin,1,0.5,1.9,1.6,-99
sisfuw50,6884105,Teddy Dameron,0,-2.4,-0.4,-0.9,-99
vbpezt09,6898556,Erika Monford,0,2.4,4.7,4.8,-99
rumyrc77,2122171,Karen Kelley,0,2,2.5,-99,-99
bjdhcb43,3041729,Celina Riley,0,-0.3,4,4,-99
vlnbmw91,1119441,Rodney Decaro,0,2.1,3.4,4.8,-99
cxouoh63,4866161,Allison Curtis,0,1.2,1.9,4.6,-99
ntypgj80,6327334,Reuben Gill,0,-1.9,2.5,-1.5,-99
utkaat92,5599545,Nancy Bonds,0,0.8,1.7,4.7,-99
wdfocx14,9962145,Ethan Villa,0,-3.1,1.2,-99,-99
fjkscf34,1071322,David Coffin,0,-0.8,3.8,4.4,-99
embeta40,4618386,Samuel Vara,0,3.7,2.5,1.7,-99
vntcip30,4324125,Agnes Terry,0,0.2,4.6,3.7,-99
snendu93,8634029,James Zarate,0,-0.2,2.2,4,-99
rhjqkd99,5083264,Alba Stiles,0,-0.7,5,4.2,-99
luepid58,5808631,Hector Meza,0,1.2,3.4,3.1,-99
utkudl60,2465537,Lucila Depner,0,2.3,2.8,3.7,-99
vkjotx69,6319343,Roland Bean,0,0.6,0.5,3.8,-99
yfchux38,9792187,Donald Bisson,0,-3.6,-1.4,0,-99
aiqbjm20,0490249,Frances Mahoney,0,-4.3,1.7,4.9,-99
lpelyw47,5082954,Jack Davis,0,1.9,3.3,4.4,-99
iqdypf83,0377474,Louise Bonilla,0,0.3,1.1,2.4,-99
wddutu66,5256131,Liza Orozco,0,-0.8,-0.4,-1.9,-99
myjmzy41,9214294,Karen Mcelwee,0,-1,2.6,4.3,-99
hmbxcp88,3566722,William Baum,0,3.6,2.8,4.2,-99
gcyeun17,5939934,Rebecca Sprague,0,-2.9,-0.7,5,-99
dbmyrk53,0264192,Gladys Marshall,0,3.8,5,5,-99
qsyrqx88,9718287,Joshua Agee,0,1.7,5,5,-99
hzipul42,7892631,Andrew Harris,0,-2.5,3.3,4.8,-99
rbeuzu98,4838948,Thomas Smith,0,1,2.9,1.8,-99
jikuev14,2444125,Marion Smith,0,-3.3,-1.7,0,-99
umzanr16,1069484,Deborah Garner,0,-3.8,-4.2,-2.7,-99
iezavu25,1049507,Ngan Knapp,0,-3.1,-1.9,-1.4,-99
auikkg47,9376580,Willie Berganza,0,-1.6,-0.8,2.1,-99
uhosud27,5058232,Ralph Skeen,0,-1.9,3,4.4,-99
puutis23,7751307,James Nelson,0,-1.7,5,2.7,-99
