uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades
ehgkyt80,3129516,Martha Nichols,0,0.4,-1.2,2.5
eqodwf71,9376874,Nicole Spicer,1,-0.1,2,-99
rtlcuw76,7446475,Eleanor Godwin,0,-0.7,3.5,3.3
zaymgl61,4322325,Jose Kays,0,0.4,3.1,-99
pmdfpj33,2609507,Jack Borrero,0,-1.7,0.9,-99
oxynfa35,6932360,Shaun Rivera,1,-2.2,0.8,-99
fxmrmf54,0989891,Erminia Moody,0,-2,2.7,1.7
pkgpro74,6109760,Peter Hinkel,0,-3.5,1.8,1.7
fpltkj12,5205154,Chris Linares,1,-0.2,0.7,5
apblmi35,6502222,Gloria Hulstine,0,-3.2,2.4,5
cevlaf16,3258115,Carol Raso,1,-2.7,0.1,-99
poxsmx10,3154159,Robert Ell,1,0.5,2.9,-99
alnlyw50,9467534,Jamie Green,1,-1.8,1.7,5
tjbipc62,0422546,Stacey Henderson,0,-1.6,2.2,0
qbkicv12,9534880,Pamela Panella,1,-2.5,0.2,5
viacgg67,3414249,Shayna Smith,0,3.1,3,2.5
ngzpjm85,5035124,Alice Smith,0,0.3,0.7,0
oclcbs23,7870029,Patricia Hempstead,0,-0.4,3.6,5
adffje11,0061245,Colby Spady,0,-1.2,-1.3,-99
lumdzf22,8920940,Thomas Moody,0,-2.3,1.5,5
menqes62,2295307,David Zurcher,0,-4,-3.1,-99
liheob83,6773631,Ethel Redding,1,0.4,0.9,0
yeeplz78,5545664,William Alston,0,0.1,2.3,0
uocwze55,8942837,Alfred Sotello,0,0.5,2.4,2.5
kdgzlc82,9226724,Brenda Hardy,0,-1.2,1.9,-99
vaqswa84,6380277,Robert Rodriguez,0,-0.7,-1,-99
wijvcm54,9223376,Ann Vallee,0,-3,-2.4,-99
keplzu39,0725341,Jaime Bumgardner,0,-1.7,1.7,2.5
htdmwg24,1622036,Kyle Frost,0,-1.9,0.4,5
ybiius93,0783758,Tory Polin,0,-0.5,3.2,5
qbnetb78,6293623,Bruce Bland,0,-2,1.6,-1.7
pofmnz73,7910740,Cynthia Hunter,0,-0.8,0.8,5
vqondu57,5191892,Daryl Williams,1,-0.9,2,-99
nwnibf55,2634100,Troy Yoshida,1,-1.6,0.9,-99
pcgnso32,9235705,Maria Schumann,0,1.7,2.6,5
dvaqxo53,9687076,Gretchen Carey,0,-2.1,1.3,5
wkkjex11,9675506,Tammy Ring,1,-1,-0.6,-99
vbexur54,5787662,Regina Scalf,0,0.1,1.5,1
bzvnto44,2822685,Shawn Tryon,0,-4.5,-0.6,-99
cotfel03,2037060,Manuel Mueller,0,-0.1,0.4,0
bowpqx67,5246413,Harold Swenson,0,-1.6,1.4,-99
qoheag05,4450943,Veronica Routh,1,-2,0.8,2.1
uerbvb21,7084797,Gloria Grant,0,-0.8,-0,0
hqrtpv56,1258850,Janice Dome,1,-0.6,0.4,-99
jnuwmv30,0741563,Johnnie Meadows,1,0.3,1.3,-99
aeisco36,9460919,David Moran,0,-1.3,1.2,3.3
ntpcfo80,2544452,Terrence Rodriguez,1,0.2,0,2.5
qohuyu88,8119370,Roger Conroy,1,-3.1,1.8,-99
cjxoqv66,9548948,Nick Burnell,1,-1.2,-1.7,-99
dwlzru44,3554382,William Greenup,1,-1.5,1.5,-99
mipagu27,0756798,Frances Hood,1,0,-3.3,-99
mdxhss49,5447568,Maria Meyers,1,-1.8,2.3,5
oozzbp33,2721240,Daniel Knight,0,-1.7,1.8,-99
lmzmzi91,5904136,Mildred Erwin,0,-2.4,-0.7,-99
fhjtud67,8392167,Rae Shockley,1,0,1.4,0
lurpmv47,1911104,Monica Jones,0,-1.9,-1.3,2.5
oxfasm96,9628355,Valerie Ghaemmaghami,0,-4,-3,0
vskgdr99,5086964,Marsha Ellis,0,-0.7,1.1,0
hnpjaa95,2192594,Lucio Felty,0,-1.4,0.4,-99
fktrwk33,3182200,Ann Haugen,1,1.1,3.8,5
hivclq94,7214289,Leola Nieves,0,-1,1.2,-99
szniom99,6972004,Virginia Schlater,0,0,0.5,-99
qanbru14,6260937,Carmen Doty,0,0.4,1.4,-99
hnmhdv47,4330329,Lorraine Mulvey,1,-4.7,-2.9,-99
alqwyb72,5717653,Kevin Smith,1,-0.3,0.7,-99
wksdwi66,7536140,Gregory Foley,1,-2.8,0.1,5
lpcpzq69,7027039,George Estes,0,0.9,1.7,0
bzsccu98,0784886,David Gibbs,0,-3.9,-3.1,-99
qmyiec34,8364303,Christopher Olson,0,-2.5,0.8,0
gxnelc41,2095252,Raymond Kiser,1,2.2,2.6,-99
yjedwq79,8482572,Paul Akins,0,-2.2,0.4,5
fpxbvf06,5836692,Louis Howell,0,1.2,2.7,1
ocubbr74,6640273,Kathleen Smith,1,-4,-0.8,0
hhypei64,5207466,Eric Garza,0,-0.3,2.9,3.7
wmlamr62,5387132,Douglas Jarvis,0,0.1,2.2,0
qvufhm04,7037550,Gina Thurman,0,1.9,1.9,0
ydgfsb31,8905574,Annetta Blanchette,1,0.9,3.4,2
ldcbjb79,7902295,Sarah Fuller,1,-0.3,1,-99
jmmqly08,2758026,Tamra Dear,1,-2.2,1.2,-99
wqpcns50,5491115,Frank Mason,1,0.5,2.3,5
oxezkn20,3692310,Carla Maobi,1,-1.7,0,-99
xrplkm24,5741802,Michael Curry,0,2.8,2.8,-99
utrpny42,3438888,Scott Andrews,0,-0.7,3.4,0
oupppu77,8357281,Peter Quirk,1,-2.2,-2.5,-99
dsaanj58,0129969,Leonard Hoyt,0,-0.1,1.8,0
xriyta14,3237519,Alicia Powell,0,-4.5,-2.4,-99
tvjigz15,0029917,Alice Green,1,-1.5,0,-99
exwvmt32,9721848,Josephine Franzoni,0,-2.7,-0.9,-99
rcwbxx58,9014353,Florencia Freeman,0,-4,-2.1,0
aujfoo43,6195486,Susan Angelo,1,-3,-2.9,-99
oqsick57,2665793,Lillian Lopez,0,-1.8,-0.2,5
nrkvru52,4286175,Ettie Kattner,0,-3.9,-0.2,5
hjwtst51,8997677,Herbert Guthrie,0,-1.1,0.7,-99
wivxbn62,3286002,Daniel Vega,1,-4.3,-0,-99
wlgoek57,7181350,Audrey Gran,0,1.4,2.9,-99
dftsgu95,6354509,Karen Soren,1,-3.6,-0.2,5
zdpujl85,2453466,Larry Wales,1,-2.2,0.6,5
aszqhz40,6589821,Greg Rufe,0,-2.6,-1.3,5
nyqrjh14,8728699,Henry Dees,0,-3.4,1.1,-99
yymqib82,2636240,Sammy Curry,0,0.4,2.9,-99
wwylgc43,2937920,Robert Suehs,1,-1.7,0.5,-1.6
wxiebf13,2664958,Bridget Hall,0,1.2,1.5,5
jcyvlj47,5641913,Jeffrey Diaz,0,3.4,2.8,3.3
tkghhv91,9145269,Edith Daws,0,-2.9,0.4,0
mbbxqd90,0055900,Marget Mckee,0,-5,0,0
maepvi67,1858831,Helen Mejia,0,-3.5,0,0
rfalet02,2768998,Kristie Delong,0,-2.2,0,0
wjzrjn84,2689119,Jacob Hudgins,0,-3.9,-1.7,0
cprcyq75,6275223,Ruth Hill,0,0,-1.7,0
vitoca22,2393329,Kevin Martin,0,-2.3,0,0
tnigtw42,1512869,Andrea Lacey,0,-3,0,5
wkynmi60,4271705,Katharine Fadel,1,-1.8,-1.1,2.5
txzsks64,4338532,Michael Connell,0,-1.2,1,2.5
fvmytq67,8309254,Mario Douglas,0,-1.9,0.6,5
wugbjy93,5076985,Elizabeth Looft,0,-2.6,0,4.4
kqyxvb74,8150969,James Bowens,1,-0.6,-0.7,2.5
hodljv26,4619837,Joseph Nesbitt,1,-2,1.3,1.9
navuqh44,7274584,Eva Cowen,0,-2.8,-1.2,2.5
bkpszk02,5222231,John Gaytan,0,-2.6,-0.8,5
eyrgin80,8378479,Kara Moser,1,-2.6,-2.5,5
xmgycr48,9904090,Marshall Markus,0,-4,-2.2,5
ilfoqf83,4556018,Richard Popovich,1,-2.4,2.2,2.5
dotfaz30,3184190,Shelley Payne,0,-0.9,2.3,0
jxbdzw29,6425067,Lynn Herold,1,-0.9,1.5,5
sqrxvk48,9232922,Kendall Gunter,0,-1.5,0,3.7
