uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades
bfrzab53,0417680,William Diggins,0,1.3,2.6,-99
czfwlz32,1797204,Noreen Espada,1,-1.4,2,-1.7
kwawld15,7730187,James Woodley,0,0.2,1.3,-1.7
nyvjln04,8722370,Cheryl Bourgeois,0,-1.2,0.6,2.5
fmsmja21,8540307,Kenneth Lara,1,-3.4,-2.9,-99
lhfcen49,5873585,Joy Via,0,0.9,2.1,-99
kdxdno99,0915467,Patsy Grudem,1,-0.1,1.8,-99
kwzkvb46,9719866,Grace Matthews,1,-0.2,1.8,0.8
lcvmuk29,7216543,Monica Montoya,0,-0.1,2,-99
ofddjr42,1908663,Moises Dancy,0,0.1,1.7,5
jzkvbp12,4613829,Danny Davis,0,-0.7,4,3.3
mksrji89,5477567,Kathy Canas,1,-0.3,-0.7,0
xiuiej44,4663441,Gregory Watts,1,-1.4,0.9,0.8
swbqcw17,2849876,Michael Stamps,0,-0.7,-0.6,0
dqmeeb20,6623455,June Beyer,0,0.1,1.2,0
hahaqp94,6673082,Willie Donelson,0,-0.7,0.3,0
gjudbv75,7749967,Gary Tamulis,0,-1.7,1.2,0
cpxvrz51,1752160,Carrie Conteras,0,-3.1,-0.6,-3
gulaxu70,3215432,Penny Dodd,0,1.3,0,0
arwzub65,9470730,Tyler Cox,1,-3.3,-3.3,-99
rqfoqu32,3087300,Edwin Smith,0,-4.4,-2.9,-99
rnbytr40,7295603,Joshua Alexader,0,-1.9,2.9,-99
htwcip17,4876406,Annie Flowers,0,-2.2,1.3,-99
abscbh02,3861798,Linda Raulston,0,-4.2,-0.4,-99
sawpgt75,1354122,Ruben Lawson,0,0.2,0.5,-99
uiyfwj65,9784990,Hector Mello,0,-2.6,2.4,-99
rkekjn84,9731154,Irma Powell,1,-1.2,-1.1,-99
hbdjip81,9940876,Carlos Kruchten,0,-2.1,2.3,0
vakxuj56,2608305,George Andrews,0,-2.2,1.9,-99
tqhgha18,9580134,Rene Thao,0,-1.9,0.5,0
lxkyck82,3847900,Maria Council,0,-2.7,1.8,-99
vmnbcf72,3358752,Leslie Daniel,0,-2.2,-0.3,-99
hhxdgi08,8058928,Michael Anderson,1,-1.8,1.4,-99
uyfazu67,7511548,George Bronson,0,-1.9,0.9,-99
bkvzzz52,8977976,Mary Bursley,0,-2.7,2,5
sonlwg81,7582452,Kathryn Zenisek,0,-2.7,2,5
vrvyoi04,7239882,Catherine Haugen,0,-3.6,-2.5,-99
twdypj08,6675269,James Chandler,0,-3,0.2,-1.5
ypqlqx33,8623946,Bruce Sellers,1,-3.1,-0.8,1
qozkqk71,8329165,Joni Hadlock,0,-3.2,-0.5,3
zdqyzb33,9313769,Kelly Chenier,0,-2.1,-1.8,1
xcfyxc30,6132328,Angela Clayton,0,-3.8,0.7,3.3
rfaznh70,5927545,Mark Savino,0,-1.6,-2,0.5
aeeowm73,7214614,Jason Leeder,0,-0.6,1,1.7
fniafi95,1794944,Jeremy Edwards,0,-2.9,0.3,3.5
vbwfxn40,6771319,Christopher Welch,1,-1.8,0.1,0.7
owghcx36,6481113,Matthew Stoll,0,-2.1,-0.2,2
vokrwx09,7824513,Jason Swearengin,0,-1.8,0.5,-2
kmbshr54,6576797,Joe Jimenez,1,-1.3,1.4,0
hftxgq57,3367731,Maureen Boisvert,1,-1.3,1,0
ycbssv96,9488644,Tara Moyer,0,-2.6,-0.3,-2.2
abjrte15,2728898,Cynthia Truong,0,-1.2,0.7,5
sievzl66,8007672,Alpha Velasquez,0,-1.4,-0.2,0.5
uqhnmm71,4283060,Elizabeth Williams,1,-3.4,-1,0.5
ebmgnu64,6813399,Arthur Dixon,1,-4,-2.7,-0.8
guesms87,7043824,David Hollis,0,-1.5,-0.8,1
tdhyag48,0150165,Viola Alford,0,0.2,3.9,-2
kibmjt03,9451413,Deanna Holland,0,-0.9,-2.6,2.5
zjwoiu43,7692782,Matthew Hwang,0,-2.6,-1.6,-1
waxkmh55,3353369,Angie Seiber,0,1.7,1.7,-99
rejzqt16,2661185,Laura Bush,0,-2.5,1.5,-99
ycnbai87,8984881,William Beltran,1,-2.3,1.9,0
wcpywd82,2486689,Angel White,0,-0.6,5,-99
svngyd23,0706813,Barbara Dupree,0,-0.9,-0.3,0
bcxylq21,8716764,Geneva Piper,0,-2.4,-0.2,2.5
pqmckx21,9184889,Kimberly Mancuso,1,1.2,2.9,2.5
fvwmaw22,1511563,Nathan Slade,0,-0.1,4.4,-99
glnjqr84,2097039,Donald Schrandt,0,3.4,5,5
jwepip35,4582326,Anthony Petersen,0,1.3,0,-99
doogru81,2679287,Margie Barnett,0,0.8,2.4,0
mpdzaz56,6845255,Willie Mulvey,0,-2.1,0,-99
jbufja99,6117841,Roman Chagoya,0,3.7,4.3,5
tktdbn95,5574916,Robert Ferraro,0,-0.5,-1,-99
dkfdcv56,8224056,Thomas Tote,1,-0.4,3.8,2.5
rphcew19,3464986,Linda Shevlin,0,1.2,1.7,-99
wkjljj39,7629333,Louis Watson,0,-0.3,1.7,-99
datpps05,2512721,Willie Giles,0,3.6,2.1,-99
vdgqzh00,0177613,Ruthann Rice,0,-1.9,-0.3,-99
opinqy16,4789652,Frank Keniston,1,-4.5,-1.9,0
drggtd17,4672236,Gene Whitmer,1,-4.2,-2.3,-99
tiujqv66,5933643,Marlene Levy,1,-3.4,-2,-5
owyxng46,3419416,Matthew Williams,1,-3.8,0.3,-99
wnckjp53,1699943,Nathaniel Kelley,1,-0.9,0.5,-99
hramni86,9623756,Amy Hahn,1,-4.1,-0.4,-99
qlgoey36,6727911,Natalie Reinking,1,-1.8,0.7,-99
rolgnv52,2094537,Christian Selby,1,-3.3,-1.6,-99
mmcgef88,7275340,Leslie Johnson,0,-1.3,0.5,0
vjhgav66,4976853,Arlene Collier,0,-1.3,2.9,0
aaavnt49,3878007,Bert Wolfe,1,-2.4,1,-99
nvlbvs42,0445324,Randy Taylor,1,-2.7,-1.3,-99
ojqtjo32,0495182,Edward Martin,1,-1.1,2.6,-99
elzhjc41,5691030,Leslie Culpit,1,-0.3,0.8,-99
wiuqsp03,7086668,Shannon Kelly,0,-2.1,2,0
ezglln96,2119603,Maria Alex,0,-4.6,-3.5,-2.1
cehkjq51,7878118,Dennis Morgan,1,-1.9,0.3,5
ibbwlm07,3830553,Karol Sieja,0,-3,-1.9,-2.5
rbnyku74,9726886,Michael Smalley,0,-2.4,1.3,2.5
rwyfjx27,0555654,Gladys Keeney,1,-3.4,2.3,5
orqwld21,0538933,Carol Jenkins,1,-3.3,-3.3,-99
limrgc38,3159744,Christopher Burns,1,-1.7,-0.3,2.5
nauoxn23,9504879,Ron Cole,0,-2.6,1.7,-99
bnvcvz44,0740066,Russell Gault,0,-4.2,-1.3,-99
kkncca02,9519701,Lanny Chen,0,-1.5,-1,-99
rgjeun79,7081881,Manuel Chambers,1,-1.9,0,-99
zlflsr04,5503988,Bradley Ramseur,0,-2.6,0.1,5
rrvzjs60,7865555,Valerie Pearson,0,-3.8,-1,-99
qqjofu49,3996822,Jill Tibbets,0,-2.3,-1,-99
vsraui42,9718953,Annetta Roberts,0,-0.8,3.1,-99
yqjcxv26,1598527,Byron Small,1,-1.8,-0,5
vkcbof35,3440060,Helene Smith,0,0.4,1.1,-99
vhqlae22,4202367,Sammie Klein,0,-4.1,-1.6,0
rsfywi55,9816856,Roseann Palmer,0,-2.1,0.2,0
blzutj32,9865940,Jenny Lopes,0,-2.5,-1.8,0
neskhg47,7972329,Damon Graf,0,-4.1,-2.4,0
yaafhl63,4046132,Dianne Parish,0,-2.7,-2,0
ibncvc94,9501874,Tricia Shockley,0,-2.6,-0.8,0
dosabd43,9270422,Louis Akins,0,-1.9,1.8,0
pdfbog50,5170953,Tessie Molina,0,-4.7,-2.2,0
clbngy83,9269232,George Keatts,0,-2.7,-2.2,0
argnzw95,4304071,Roberta Dejesus,0,-3,-2.8,0
nqdqun87,5868776,Danielle Nelson,0,-3.9,-2.2,0
chcwrj14,4970368,Curtis Verdugo,0,-3.7,-1.8,0
isgwfe80,5159378,Jody Donaldson,0,-3,-0.4,0
yvpxdy37,9081840,Calvin Royce,0,-3,-1.8,0
anjwdt88,9257391,Rose Reed,0,-2.2,-1,0
bedezz08,9555577,Trudy Seifert,0,-3.9,-3.5,0
plhapr39,7320198,Michael Neider,0,-2.2,-0.2,0
bjlwwg01,4694907,Dale Martinez,0,-3.3,-2,0
yfvzix65,6164277,Cheryl Miraglia,0,-1.5,-0.3,5
ypfyuo29,7537717,Frances Brown,0,-1.7,1.2,5
etdleb17,6064047,Ruby Rama,0,-3.6,-0.1,5
kigdsb36,0076725,Heather Whitley,0,-1.6,1.1,3.3
abespp96,6152269,Hal Robison,0,-1.1,4,4.1
vofacn98,2109445,Georgia Welty,0,-0.3,1.6,5
exzsiu62,6941812,Anthony Obeso,0,0.2,1.7,5
