uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred,adviser_name,staff_id
yoqxtr88,8145854,Pansy Caldwell,0,0.6,4.1,1.3,4.5,Samuel Dalton,wpqorn73
pbsxnx96,9891981,Karla Alston,0,0.2,0.8,4.8,1.1,Michelle Cuellar,oqgnwy64
oqkaqs85,5368801,Rose Moreland,0,-3.4,-2.6,-2.7,-3.8,Marie Roberts,vnxici28
erdlre04,7029835,Amanda Cervantes,0,-0,2.7,4,2.2,Paul Prince,wndznn45
bwmkih60,5243753,Joe Rush,1,-0.8,0.4,3,3.5,Samuel Dalton,wpqorn73
ixcrpc85,5939376,Lori Weinberg,1,-1.4,1.2,3.6,1.4,Basia Murton,bm8567
yuzolw98,0148666,Susan Carney,0,1.7,1.7,4,4.9,Basia Murton,bm8567
ehtqti59,0525681,Elmer Cossette,1,-1.8,0.9,0.6,-1.4,Jeanette Lindley,mmxgfl83
mvnbte90,0187196,Arthur Russ,0,0.7,-1.4,-1.9,3.6,Luis Yoxall,flgkpr62
riosaq77,6968383,Debra Willner,0,1.2,2.7,0.8,3.8,Michelle Cuellar,oqgnwy64
fwvfsg11,9774038,Debbie Benton,0,-2.3,1,1.5,-3.7,Jeanette Lindley,mmxgfl83
ftjiej68,0373439,Michelle Ceron,1,0,4.2,4.3,-4.2,Emily Santos-Bacca,esb99
zqobea33,2176552,Arnold Watanabe,1,-0.1,1.7,1.6,-3.8,Samuel Dalton,wpqorn73
qvgoxd83,4418342,Katie Devore,0,-0.8,2.7,2.6,-5,Kenyatta Berrios,ysftax93
bqumlu58,1103928,Veronica Robbins,1,-0.7,0.6,1.8,3.2,Paul Prince,wndznn45
juijrh89,7997701,Bianca Landrum,1,-5,-1.7,0,4,Paul Prince,wndznn45
iadqro14,0156962,Pamela Holmes,1,-0.1,4.9,4.8,4.9,Basia Murton,bm8567
rtifpe43,1798301,Cody Gautreaux,1,2.3,3.3,3.6,0.8,Anne Hernandez,ssujpa10
bjzlqj89,7269234,Naomi Riley,1,0.9,1.9,2.6,-5,Michelle Cuellar,oqgnwy64
mgkxet49,6581982,Della Nichols,1,0.3,1.2,2.2,2.3,Jeanette Lindley,mmxgfl83
diaott52,1966927,Donald Wheeler,1,-3.6,0.9,-0.4,3.4,Marie Roberts,vnxici28
yvjgwg52,7376087,Paul Greany,0,-3.7,2,2.4,0.9,Irene Feldman,ekhymj67
ewxtlx77,7622611,Linda Garcia,0,-0.6,2.2,1.8,3.6,Basia Murton,bm8567
ozrzux78,5527651,Amanda Davenport,0,0.9,2.6,3.7,3.9,Emily Santos-Bacca,esb99
arxhdk99,8062811,Rita Jamison,0,-1.3,-0.4,1.9,4.1,Paul Prince,wndznn45
ojebrd71,0630432,Margaret Wilson,0,-0.2,1.6,1.6,1.7,Kenyatta Berrios,ysftax93
gahstj96,7147411,Hung Buckley,0,2.3,4.2,4.7,4.3,Marie Roberts,vnxici28
lujvmb13,8587656,David Thom,0,1.1,3.2,4.9,4.9,Dawn Curtin,sweucq96
ezrkpc12,0073157,Derrick Barcus,0,1,-0.6,0,-1.8,Marie Roberts,vnxici28
nwxrsf75,8129103,James Yokota,1,-5,-5,-4.7,-5,Kenyatta Berrios,ysftax93
xcahou77,9365269,Juan Talbert,1,0.8,3.5,0.6,3.4,Basia Murton,bm8567
uawopp49,8685506,Eric Garay,0,1.6,2.6,3.6,2.3,Irene Feldman,ekhymj67
tfynyr92,0061451,Pamela Thomas,0,-2.2,-1.3,0.9,3.4,Jeanette Lindley,mmxgfl83
vuladm01,1881386,Justin Bryant,1,0.3,2.1,3.2,1.7,Luis Yoxall,flgkpr62
ggmmoa11,2440753,Ashley Kline,0,-4.4,-0.4,2.6,3.6,Anne Hernandez,ssujpa10
zeuefj60,2532051,Anamaria Allen,0,-2,3.1,2.3,-0.4,Jeanette Lindley,mmxgfl83
yetois42,3840595,Amy Lewis,0,0.6,0.7,0.3,1.4,Luis Yoxall,flgkpr62
jopppz20,8660975,Horace Rodriguez,0,-0.4,0,2.9,-4.7,Michelle Cuellar,oqgnwy64
kbredv99,8640539,Joshua Bocanegra,1,1,4.5,4,-1.7,Marie Roberts,vnxici28
xsyljm01,8535929,John Gregg,1,0.5,3.2,2.9,-3,Kenyatta Berrios,ysftax93
dpsxpy39,2520482,William Brennan,1,-0.5,3.3,5,2,Marie Roberts,vnxici28
jgzxvj08,5164622,William Sanchez,0,-1.2,-0.7,0.2,0.3,Basia Murton,bm8567
noxlfr60,5842212,Saundra Burns,1,2.2,3.8,4.3,-0.1,Marie Roberts,vnxici28
gfgmvm95,8484240,Paula Weathersby,1,1.5,2.7,0,-4.5,Luis Yoxall,flgkpr62
loxmas57,2755026,Sharon Thorson,0,-99,-99,-99,-99,Kenyatta Berrios,ysftax93
wnmnwj79,0400039,Jeffrey Ryder,0,-3.9,3.8,3.3,3.5,Luis Yoxall,flgkpr62
dgixpo78,0743680,Gladys Moore,1,-0,4.1,3.9,0.8,Michelle Cuellar,oqgnwy64
sdrlja22,5750190,Haydee Littlejohn,0,0.5,3.2,3.3,0.5,Jeanne Mason,cnotli32
pujrpt24,9260965,Heather Hesse,1,0.6,-0.9,3.3,1.7,Patricia Jackson,hfyvek38
yfnbfl48,6574199,Dacia Michael,0,-2.2,2.2,3.2,0.8,Basia Murton,bm8567
btcgxu82,9666443,Robert Matta,1,0.7,1.5,2.1,-3.9,Jeanette Lindley,mmxgfl83
mvpfkn73,3055290,Bruce Gauvin,0,-0.2,2,1.3,3.4,Michelle Cuellar,oqgnwy64
fstrgl71,1204749,Rebecca Moffett,1,-1.9,-1.9,-0.2,-2,Basia Murton,bm8567
