uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
znmwsv57,0571887,Mary Knudsen,0,-1.1,3.1,1.7,4.6
czbcck07,6482133,Jonathan Bonnet,0,-0.5,-0.4,5,0.2
xdmiba27,2575690,Stacey Betts,0,-0.5,0.8,-0.1,-4.1
bgalni61,3756651,Catherine Jones,0,-1.2,1.3,2.7,1.3
nposau81,2547655,Gene Aceuedo,1,-2.6,-0.3,4.1,1.3
abgyrn18,0787890,Peter Corliss,1,-0.7,0.8,4.1,1.1
uqquoi40,8797899,Helen Sandoval,0,0,0,-99,4.9
xvmzwa17,5616847,Ryan Ehlert,1,-3.5,2.2,1.3,-2.1
qyfcfm16,8079743,Nancy Torres,0,0.1,1.4,2.6,3.8
pzgypq81,2642331,Cesar Freeman,0,-0.7,1.7,2.8,2.9
kqhmhq08,5511296,Michael Cooley,0,-2.4,0.8,3.3,-3.6
ueumqm94,1305003,Beverly Barjas,1,-1,4.1,4.6,-3.9
kgrgvr28,3843839,Michael Summer,1,-1.6,-1.4,1.1,-3.7
ntljzj92,9967346,Michael Lee,0,-0.8,1.7,2.6,-5
lvgdjh73,4358972,Todd Robins,1,-3.8,-3.3,-5,3.6
wcbefr89,0435245,John Goodman,1,-5,-5,-5,4.2
lssgbk53,9053407,Sandra Turner,1,-2.5,2,3.1,4.9
kpuqwe71,6115442,Michael Hardy,1,0.7,0.9,4.2,0.4
badvhz26,9750761,Raymond Johnson,1,0.7,2.8,5,-5
ottzyc83,0392586,Annette Warner,1,-0.7,-0.8,3.5,1.9
kgkljf37,1408314,Jimmie Foreman,1,-5,0.2,2.1,3.4
dtrkvi24,7206182,Ramon Moser,0,-4.5,-1.3,2.5,1.2
ytdxim88,3276769,Timothy Letko,0,-0.7,3.1,3.8,3
savppi59,6516500,Sherri Boyd,0,1.1,2.2,4.8,3
jxdwbo19,4193049,Terry Piccinone,0,-0.9,-0.3,3.8,4.3
pjmhjk57,0734189,Charles Wright,0,-1,2.8,2,2.6
sdfjkx57,9631533,Carmen Millsap,0,1.2,2.5,5,4.4
bttqti76,8452708,Nichole Felps,0,-2.7,0.8,5,4.9
ogpixi67,0526755,Gladys Smith,0,-0.2,1.5,0.2,-2.8
sxofzj53,9675909,Adrian Cropley,1,-5,-2.8,-5,-5
