uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
hafrrf49,3525458,Helen Council,0,-1.1,3.1,1.7,4.6
vkctlf94,0615616,Cynthia Reed,0,-0.5,-0.4,5,0.2
zeczar38,8255181,Sergio Buckmaster,0,-0.5,0.8,-0.1,-4.1
xzawno82,0706833,Clyde Bowen,0,-1.2,1.3,2.7,1.3
kqhqgh33,4297041,Timothy Marion,1,-2.6,-0.3,4.1,1.3
eljogl96,3819523,Lina Pak,1,-0.7,0.8,4.1,1.1
tvqxgj72,9064127,George Bucher,0,0,0,-99,4.9
czwlzz20,8252493,Nathaniel Carrington,1,-3.5,2.2,1.3,-2.1
iyuxmp95,7106505,Carson Stetler,0,0.1,1.4,2.6,3.8
vqigmo65,0090652,Ernest Oge,0,-0.7,1.7,2.8,2.9
aekaew41,9611131,Annie Freeman,0,-2.4,0.8,3.3,-3.6
lgguhy09,0056224,Melissa Fosnaugh,1,-1,4.1,4.6,-3.9
kbpofd31,9825435,Sean Seidl,1,-1.6,-1.4,1.1,-3.7
zobjrh05,9466576,Eileen Hurlock,0,-0.8,1.7,2.6,-5
varkpj09,3658732,Lisa Cummings,1,-3.8,-3.3,-5,3.6
bfjlmm30,0508602,Frances Campos,1,-5,-5,-5,4.2
ucfbxi92,4120632,Gary Smith,1,-2.5,2,3.1,4.9
odnstd00,4261881,Betty Hatch,1,0.7,0.9,4.2,0.4
aiiirx30,7965095,Norma Powell,1,0.7,2.8,5,-5
ogtpxe05,0956501,Obdulia Bettinson,1,-0.7,-0.8,3.5,1.9
svzyof11,8340207,Donnell Sterling,1,-5,0.2,2.1,3.4
rnpmcg59,1326980,Nora Dalton,0,-4.5,-1.3,2.5,1.2
htvgna27,5627269,Rosa Johnson,0,-0.7,3.1,3.8,3
lsdvfz75,1410955,Ana Christenson,0,1.1,2.2,4.8,3
crnync82,9676601,Laurie Wolfe,0,-0.9,-0.3,3.8,4.3
uvxevc54,0815660,Alan Falcon,0,-1,2.8,2,2.6
cypjcm61,1594097,Willie Perlman,0,1.2,2.5,5,4.4
onpqme08,2829037,Ellen Larson,0,-2.7,0.8,5,4.9
mkxuag47,2349924,Duane Rogerson,0,-0.2,1.5,0.2,-2.8
raihwi39,6129105,Teresa Charles,1,-5,-2.8,-5,-5
ggmhhb85,6291089,Katherine Rode,1,0.4,2.8,1.8,3.3
oijtwn93,3801707,Patricia Penix,0,-0.4,-0.9,0.9,2.7
kmskdr36,6145232,Maryann Galindez,0,-2,-1.1,1.8,2.3
momrqq80,5960448,Leonard Desano,1,0.6,1.7,1.6,1.1
skdnbd75,1908821,Travis Scrivner,0,-5,-0.3,0,3
ubkuyo26,7165849,Teri Ryan,0,-3.3,1.3,2.9,-0.1
yiswei19,7531281,Crystal Diven,0,0,2.3,-0.5,0.4
lqqeax37,1394773,Jennifer Myrick,0,-0.8,1.7,3.8,-4.8
ofeyqf93,8808255,Winnifred Windsor,1,-0.4,3.9,3.1,0.1
jthchu32,0931332,Stephen Aguilar,1,-0,0.8,3.8,-2.8
ztsruu80,0175093,Kum Ellis,1,-1,2,5,2.1
rwtnts20,6172946,Darla Hicks,0,-1.5,-1.2,3.1,-0.2
cpnnwh12,9900368,Michelle Hanisch,1,-0.1,0.3,1.2,0.2
npbmey09,8870124,Brenda Stewart,1,1,1.2,0,-2.3
zjfpvp59,2455268,Meg Salinas,0,-5,-3.8,-5,-4.9
sywzjn95,1627320,Katherine Benny,0,-3.5,1.2,1.7,2.8
fhfnjs80,0588829,John Foglesong,1,-0.6,2.5,4.9,0.1
yudaxm70,4021850,Deborah Bilsborough,0,-0.7,2.7,2.8,1.8
ddfvrn12,4378824,Karen Caneva,1,-3.2,-2.2,5,1.8
tmvesf64,1126512,Edward Diaz,0,-3,1.3,4.2,1.8
ckryur71,3182553,Vera Jenkins,1,-0,1.5,2.8,-3.1
bafjmi50,0774086,Bobby Hartsock,0,-0.6,0,-1,3.9
conxdt68,5363421,Terry Washington,1,-3,-1.5,4.2,-2.6
ybmsrn09,6393718,Steven Gutierrez,0,0.2,1.3,3.2,3
pgbeyr87,6695904,Mary Featherston,0,2.3,1.8,4.5,1.6
ptknhn46,8219046,Joseph Winchell,0,-1,-0.6,0,4.5
dnevgf87,6951129,Michael Diaz,0,2.5,-5,-99,-4.8
ihugtb32,6637463,Elsa Hurt,0,-2.5,1.5,1.8,3.8
uhrhea93,6851836,Jeanette Donaldson,1,-5,-5,-5,3.1
hokpus36,6307178,Christine Vineyard,1,-2.8,0.2,3.8,3.1
bvihjm57,3853896,Ralph Cheatham,1,-3.3,1.4,4.5,3.7
matzsy19,2403523,Loretta Moore,0,-1,-1.3,3,3
gkwizq53,9460940,Jean Jones,0,-0.5,2.8,4.5,1.7
liypxa61,4797238,Keith Rios,0,-4.4,-5,-5,-5
axudvc02,6854928,James Hower,0,0.2,2.5,4,2.5
aghlbz77,4497961,John Harris,0,-3.7,-5,0,3.7
rcmuno06,1584638,Joe Murry,1,-0.1,2.4,4,-4.1
oakrxg84,3558490,Eugene Herron,0,0.1,-1.1,-1.3,2.1
kclgxn59,0224713,Carey Gonzales,0,-2.5,-3,1.2,4.6
rkrwfo90,0220690,Richard Valencia,1,-0.3,0.1,4.7,2
wleepg97,0901170,Mike Mathews,0,1.1,2.3,2.6,4.3
zdmbnd29,9654698,Jeffery Basil,0,2,3.1,2.9,3.1
